title,time,likes,stars,info
生娃当天老公发的朋友圈,2天前, 0, 0,null
裁剪做出了质感！还不缺美感,2天前, 0, 1,Midjourney做的
墙体发霉的房子不能住人,2天前, 0, 0,天呐‼️才知道这么严重‼️ 霉菌孢子在房间里会飘散在空气中被人体吸入肺部，引发感染，轻则气短乏力咳嗽炎症，重则癌变。夜里睡觉静静吸入霉菌孢子漂浮物，而且房间还比较密闭，大家一定要注...
涨姿势微语录0508：所谓财富，都是毛线，人生苦短，要及时行乐。,2天前, 0, 0,我们讨论，说为什么国家现在极力推动消费，只有吃喝玩乐火热，其他投资消费都纹丝不动？我们感叹，除去不可说的理由，可说的应该是经过三年疫情和房地产重创，大家突然明白，所谓财富，都是毛线...
朋友收到6k红包可能会更开心,2天前, 0, 1,关系很好的朋友结婚，但是往返路费要6k，要去吗
炒两性话题反噬是必然,2天前, 0, 0,网红顾蚊子因为模仿方头明拍摄“自己曾经做过的油腻女行为”视频，不但在评论区遭抵制，还被造谣得过性病，被私信辱骂。理由是她“背刺女性”、“厌女媚男”。 ​​​
起底健身房频繁跑路的原因。 ​​​,2天前, 0, 0,null
8点上课都要成为时代的眼泪了,2天前, 0, 0,null
在他生命里的每个阶段 ​​​,2天前, 0, 1,null
广州：一个有点假的一线城市,2天前, 0, 0,广州，提起这个一线城市你会想到什么 或许大部分人和我一样，脑海里第一个蹦出来的画面 会是珠江边高耸入云的小蛮腰和天际线 当这个假期我怀抱着游山玩水、打卡美食的心态来到广州，在这里真...
什么样的卫生间，才适合老人用,2天前, 1, 1,卫生间我们也写过很多次了，但很少有关注到为老人所设计的卫生间 其实，老人才是使用卫生间比较多的，因为 ta 们一直待在家里，也经常会在卫生间这个地方发生意外 也是因为最近我在网上看...
教育投入是一种消费不是投资，顺道满足家长精神需求,2天前, 0, 1,@纯银 V：信息流上刷到讲中产阶级养娃经的，特指中产中上层，几千万资产那种，又到不了亿万富豪的地步。 这样的家庭养娃，从私立学校到私立医院，从小过着富养的生活。但按照现在的经济趋势...
即使不能给与帮助和同情，也请不要再施加二次伤害,2天前, 0, 0,@杭州金融女民工：哈尔滨这起租户私砸承重墙导致整幢楼成为危房损失超过 1.6 亿的事件中，有一位受害业主在微博发声，主要讲述了目前受害业主们的现状，并希望政府能维护全体受害业主的合...
前所未有重大挑战 ​​​,2天前, 0, 0,null
真是整词高手,2天前, 0, 0,真是整词高手，“自雇经济”、“轻创业”。 ​​​（@长安乔木在微博）
拒绝动物表演！ ​​​,2天前, 0, 0,null
忽报人间曾伏虎，泪飞顿作倾盆雨。 ​​​,2天前, 0, 1,null
《学好数学》 ​​​,2天前, 0, 1,null
辛爽和秦昊分析龚飙这个人物角色身上有种东北人的精神：“穷横” ​​​,2天前, 0, 0,null
人生最顶级享受,2天前, 0, 1,null
韩国模特ahnlina ​​​,2天前, 0, 0,null
这个好可爱 天才设想,2天前, 0, 1,null
在泰国酒店吃榴莲被罚1000元,2天前, 0, 0,null
普通人怎么拥有千万资产，打工是不可能的,2天前, 0, 1,@自我的 SZ：好多人在讨论，有人也在出谋划策告诉大家如何拥有千万资产，我身边朋友圈 90% 都达到了这标准，今天从达到者角度说说普通人都是怎么样拥有千万资产的。 首先说机会永远都...
全球独角兽公司的诞生时间,2天前, 0, 0,Crunchbase 的这两份数据对比起来很有意思： 第一张图，是全球独角兽公司（估值 10 亿美金以上且未上市）的诞生年份，峰顶是在 2015 年，此后开始滑落。 第二张图，是投...
靠山吃山，靠城市就吃城市，切忌盲目随意,2天前, 1, 0,@菊厂刘掌柜：产业都是聚集的，聚集度越高代表着效率越高，成本越低，越有竞争优势。就像昨天那个河南许昌网友，我说他可以找找老家假发的生意，这就是他的资源，关键看其能不能挖掘的到。 做...
漫威缺英雄的话，要不要考虑下亚洲人，就怕拍成纪录片 ​​​,2天前, 0, 1,null
成熟的狗狗不仅会开锁，还会到处遛自己,2天前, 0, 2,null
一个娱乐性质的比赛也要体现领导的不同之处,2天前, 0, 0,null
哈哈哈哈不如还是让张小雷自己来吧,2天前, 0, 0,null
到底是迷迷瞪瞪的早结婚好，还是明明白白的晚结婚好？,2天前, 1, 1,null
做饭真的很危险,2天前, 0, 0,null
像极了不想上班的我,2天前, 0, 2,null
写给妈妈的信。,2天前, 0, 2,null
留学生真是什么都做得出来,2天前, 0, 1,null
女性理想择偶的变迁,2天前, 0, 0,@喝红茶的三叔：女性理想择偶的变迁： 1. 五十年代：解放军 (最好：战斗英雄) 2. 六十年代：工人（最好：劳动模范）“一工二干三教员，宁死不嫁农民汉” 3. 七十年代：革命分子...
2023 巴菲特股东大会 800 字精华版来了（附全文）,2天前, 0, 0,5 月 6 日周六，从美国中部时间上午 9 点 15 分（北京时间晚 10 点 15 分）开始，今年 8 月 30 日将满 93 岁的巴菲特和老搭档、已经 99 岁的芒格出席伯克希...
股神开会…,2天前, 0, 0,昨晚伯克希尔的年会再次刷屏，两位 90 多岁的老头又在台上讲了 6 个多小时。与他们的财富相比，这健康水平才更令人羡慕吧。 年会本身很冗长我没去看直播，但看了好几个版本的文字记录。...
cpu看烧了，真的是有性别刻板印象，我自罚三杯,2天前, 0, 1,@sci_accepted 顺利毕业版：有一个师姐，研三那年报考她老板的博士，结果发现她老板的小三也报了她老板的博士。 她老板的小三是本科来他们实验室做实验和老板勾搭上的，因为老板...
我发现骗子还是挺有良心的,4天前, 0, 2,一开始我以为说被骗肯定是钱收了人没来 看到最后 我发现骗子还是挺有良心的
小时候的猜想变成了现实,4天前, 0, 1,null
我和同龄人的区别 ​​​,4天前, 0, 1,null
会有天使替我奶你。,4天前, 0, 2,null
“那就让他就成为play中的一环”,4天前, 0, 1,null
第一次感受到文字的力量,4天前, 0, 0,null
空气免费的唯一原因是因为没有有效的收费方式,4天前, 0, 0,白菜！新加坡进口 Pearlie White 白丽洁 薄荷清新剂喷雾 8.5mL*2 支新低 15.8 元包邮（7.9 元 / 支） 白菜！隽永天香 特级浓香型茉莉花茶 50g 新...
孩子刚出生时VS孩子上学后,4天前, 0, 2,null
榴莲：我真的会谢 ​​​,4天前, 0, 1,null
富二代的卡里到底有多少钱,4天前, 0, 1,有没有富二代给我500万，你失去的只是一笔小钱，却可以让我感受不一样的人生
