电影名字,主演,上映时间,评分
我不是药神,我不是药神,2018-07-05,9.6
肖申克的救赎,肖申克的救赎,1994-09-10(加拿大),9.5
海上钢琴师,海上钢琴师,2019-11-15,9.3
绿皮书,绿皮书,2019-03-01,9.5
霸王别姬,霸王别姬,1993-07-26,9.4
美丽人生,美丽人生,2020-01-03,9.3
小偷家族,小偷家族,2018-08-03,8.1
这个杀手不太冷,这个杀手不太冷,1994-09-14(法国),9.4
哪吒之魔童降世,哪吒之魔童降世,2019-07-26,9.6
怦然心动,怦然心动,2010-07-26(美国),8.9
盗梦空间,盗梦空间,2010-09-01,9.0
星际穿越,星际穿越,2014-11-12,9.3
阿甘正传,阿甘正传,1994-07-06(美国),9.4
泰坦尼克号,泰坦尼克号,1998-04-03,9.6
楚门的世界,楚门的世界,1998(罗马尼亚),8.9
千与千寻,千与千寻,2019-06-21,9.3
触不可及,触不可及,2011-11-02(法国),9.1
辛德勒的名单,辛德勒的名单,1993-11-30(美国),9.2
寻梦环游记,寻梦环游记,2017-11-24,9.6
情书,情书,1999-03-01,8.9
少年派的奇幻漂流,少年派的奇幻漂流,2012-11-22,9.0
何以为家,何以为家,2019-04-29,9.3
摔跤吧！爸爸,摔跤吧！爸爸,2017-05-05,9.8
忠犬八公的故事,忠犬八公的故事,2009-06-13(美国),9.3
放牛班的春天,放牛班的春天,2004-10-16,9.5
小丑,小丑,2019-10-04(美国),8.6
当幸福来敲门,当幸福来敲门,2008-01-17,9.3
天堂电影院,天堂电影院,2021-06-11,9.3
三傻大闹宝莱坞,三傻大闹宝莱坞,2011-12-08,9.1
熔炉,熔炉,2011-09-22(韩国),8.8
你的名字。,你的名字。,2016-12-02,9.2
看不见的客人,看不见的客人,2017-09-15,9.4
教父,教父,1972-03-14(美国),9.3
活着,活着,1994-05-17(法国),9.0
死亡诗社,死亡诗社,1989-06-02(加拿大),8.7
头号玩家,头号玩家,2018-03-30,9.0
龙猫,龙猫,2018-12-14,9.2
被嫌弃的松子的一生,被嫌弃的松子的一生,2006-05-27(日本),8.5
闻香识女人,闻香识女人,1992-12-23(美国),8.8
疯狂动物城,疯狂动物城,2016-03-04,9.5
三块广告牌,三块广告牌,2018-03-02,8.6
末代皇帝,末代皇帝,1987-10-04(日本),8.8
心灵奇旅,心灵奇旅,2020-12-25,9.2
机器人总动员,机器人总动员,2008-06-27(美国),9.3
西西里的美丽传说,西西里的美丽传说,2000-10-26 00:00:00(意大利),8.2
超脱,超脱,2011-04-25(美国),8.7
海蒂和爷爷,海蒂和爷爷,2019-05-16,9.5
本杰明·巴顿奇事,本杰明·巴顿奇事,2008-12-25(美国),8.8
让子弹飞,让子弹飞,2010-12-16,8.5
一一,一一,2017-07-28(中国台湾),8.9
海边的曼彻斯特,海边的曼彻斯特,2017-08-25,8.8
布达佩斯大饭店,布达佩斯大饭店,2014-02-06(德国),8.7
阿凡达,阿凡达,2010-01-04,9.4
美国往事,美国往事,2015-04-23,9.1
美丽心灵,美丽心灵,2001-12-13(美国),8.8
搏击俱乐部,搏击俱乐部,1999-09-10(意大利),8.7
乱世佳人,乱世佳人,1939-12-15(美国),9.1
